case_id,enabled,mode,image_1,image_2,expected_store,expected_date,expected_total,expected_product_lines,expected_quantity,expected_status,notes
BLIND_001_auchan_stalingrad_12_13_webp,1,single,images\auchan_stalingrad_12_13_webp_001.webp,,Auchan,2025-08-14,12.13,5,5,budget_ok_articles_partial,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : 5 produits visibles; total 12,13 EUR; pas de nombre d'articles imprimé."
BLIND_002_carrefour_contact_st_sauveur_webp,1,single,images\carrefour_contact_st_sauveur_webp_002.webp,,Carrefour Contact,2025-06-17,21.54,9,12,trusted,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : 9 lignes de vente; 12 articles grâce à la ligne 4 x 1,20 EUR."
BLIND_003_fr_auchan_grenoble_2024_10_17,1,single,images\fr_auchan_grenoble_2024_10_17_003.webp,,Auchan,2024-10-17,4.59,2,2,budget_ok_articles_partial,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : 2 produits; total prouvé 4,59 EUR; ticket coupé après le début de la TVA."
BLIND_004_fr_carrefour_market_paris_2024_10_28,1,single,images\fr_carrefour_market_paris_2024_10_28_004.jpg,,Carrefour Market,2024-10-28,12.61,8,8,budget_ok_articles_partial,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : 8 lignes et 8 articles; total à payer 12,61 EUR."
BLIND_005_fr_super_u_la_madeleine_2024_01_20,1,single,images\fr_super_u_la_madeleine_2024_01_20_005.png,,Super U,2024-01-20,79.07,30,40,budget_ok_articles_partial,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : Le ticket imprime 30 lignes de vente et 40 articles; reste à payer 79,07 EUR."
BLIND_006_re_eleclerc_les_casernes_2026_07_21_8_,1,single,images\re_eleclerc_les_casernes_2026_07_21_8_20_jpg_006.jpg,,E.Leclerc,2026-07-21,8.20,4,4,trusted,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : Le cuissot à 38,95 EUR est annulé; 4 produits finaux pour 8,20 EUR."
BLIND_007_re_eleclerc_les_casernes_2026_07_24_10,1,single,images\re_eleclerc_les_casernes_2026_07_24_10_89_jpg_007.jpg,,E.Leclerc,2026-07-24,10.89,4,5,trusted,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : 4 lignes; 5 articles grâce aux 2 baguettes; total 10,89 EUR."
BLIND_008_re_eleclerc_les_casernes_2026_07_24_54,1,long,images\re_eleclerc_les_casernes_2026_07_24_54_87_jpg_haut_008.jpg,images\re_eleclerc_les_casernes_2026_07_24_54_87_jpg_bas_008.jpg,E.Leclerc,2026-07-24,54.87,21,21,trusted,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : Ticket long en 2 photos; 21 lignes et 21 articles; total 54,87 EUR."
BLIND_009_re_eleclerc_les_casernes_2026_07_24_66,1,single,images\re_eleclerc_les_casernes_2026_07_24_66_19_jpg_009.jpg,,E.Leclerc,2026-07-24,66.19,15,15,trusted,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : Total articles 66,34 EUR; bon immédiat 0,15 EUR; reste à payer 66,19 EUR."
BLIND_010_re_eleclerc_les_casernes_2026_07_24_du,1,single,images\re_eleclerc_les_casernes_2026_07_24_duplicata_0_70_jpg_010.jpg,,E.Leclerc,2026-07-24,0.70,1,1,budget_ok_articles_partial,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : Duplicata: une bouteille d'eau; paiement espèces 0,70 EUR."
BLIND_011_re_eleclerc_les_casernes_2026_07_24_du,1,single,images\re_eleclerc_les_casernes_2026_07_24_duplicata_190_90_jpg_011.jpg,,E.Leclerc,2026-07-24,190.90,2,2,budget_ok_articles_partial,"BLIND: ne pas renseigner avant le premier passage V2. | VERITE TERRAIN APRES PREMIER PASSAGE : Duplicata: chargeur 22,90 EUR et Samsung A17 168,00 EUR; total 190,90 EUR."
